 ,VERDURAS E LEGUMES,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,QUIABO,KG,"R$ 18,00","R$18,00","R$ 15,00"
,RABANETE,KG,"R$ 5,00","R$4,00","R$ 3,00"
,RABANETE MOLHO,DZ,"R$ 40,00","R$30,00","R$ 25,00"
,RAIZ FORTE,KG,"R$ 100,00","R$100,00","R$ 100,00"
,REPOLHO ROXO,DZ,"R$ 60,00","R$50,00","R$ 40,00"
,REPOLHO VERDE,KG,"R$ 2,22","R$1,94","R$ 1,11"
,RUCULA,DZ,"R$ 30,00","R$20,00","R$ 15,00"
,SALVIA,MOL,"R$ 2,00","R$2,00","R$ 1,50"
,TOMATE CEREJA (MINI TOMATES),KG,"R$ 20,00","R$15,00","R$ 12,00"
,TOMATE GAUCHO,KG,"R$ 11,50","R$10,50","R$ 10,00"
,TOMATE ITALIANO ,KG,"R$ 12,00","R$10,00","R$ 8,00"
,TOMATE LONGA VIDA,KG,"R$ 9,00","R$9,00","R$ 7,00"
,TOMATE RASTEIRO,KG,"R$ 8,00","R$6,67","R$ 4,00"
,VAGEM,KG,"R$ 15,00","R$12,00","R$ 10,00"
,YACON,KG,"R$ 15,00","R$ 15,00","R$ 15,00"
,FRUTAS,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,ABACATE AVOCADO,KG,"R$ 16,00","R$11,55","R$ 8,00"
,ABACATE COMUM,KG,"R$ 5,00","R$3,33","R$2,78"
,ABACAXI PEROLA,UND,"R$ 7,50","R$6,50","R$ 4,50"
,ABACAXI TERRA DE AREIA,UND,,,
,ACEROLA,KG,"R$ 30,00","R$30,00","R$ 30,00"
,AMEIXA IMPORTADA,KG,"R$ 14,44","R$12,78","R$ 11,55"
,AMEIXA NACIONAL,KG,,,
,AMORA PRETA,KG,"R$ 130,00","R$130,00","R$ 130,00"
,BANANA CATURRA / NANICA,KG,"R$ 4,00","R$2,75","R$ 2,33"
,BANANA DA TERRA E OUTRAS,KG,"R$ 11,00","R$6,75","R$ 6,50"
,BANANA MACA,KG,"R$ 12,00","R$7,00","R$ 7,00"
,BANANA PRATA / BRANCA,KG,"R$ 4,50","R$3,50","R$ 2,50"
,CAQUI CHOCOLATE,KG,"R$ 6,00","R$5,00","R$ 3,00"
,CAQUI FUYU,KG,"R$ 5,00","R$3,00","R$ 3,00"
,CAQUI IMPORTADO,KG,"R$ 6,00","R$6,00","R$ 6,00"
,CAQUI MOLE,KG,"R$ 12,50","R$5,71","R$ 5,00"
,CARAMBOLA,KG,"R$ 11,00","R$10,00","R$ 10,00"
,CEREJA,KG,"R$ 140,00","R$140,00","R$ 140,00"
,COCO SECO,KG,"R$ 6,50","R$5,00","R$ 4,90"
,COCO VERDE,UND,"R$ 6,00","R$6,00","R$ 5,00"
,FIGO MADURO,KG,"R$ 27,78","R$27,78","R$13,92"
,FIGO VERDE,KG,,,
,FISÁLIS,KG,"R$ 100,00","R$81,25","R$ 70,00"
,FRAMBOESA,KG,"R$ 170,00","R$170,00","R$ 170,00"
,FRUTA DO CONDE / PINHA,KG,"R$ 20,00","R$20,00","R$ 20,00"
,GOIABA,KG,"R$ 12,50","R$6,67","R$ 5,00"
,GRAVIOLA,KG,"R$ 26,10","R$26,10","R$ 26,10"
,JABUTICABA,KG,"R$ 30,00","R$30,00","R$ 30,00"
,JACA,UND,"R$ 40,00","R$35,00","R$ 30,00"
,JILO,KG,"R$ 14,00","R$13,85","R$ 13,85"
,KINKAN,KG,"R$ 52,50","R$52,50","R$ 52,00"
,KIWI IMPORTADO,KG,"R$ 20,00","R$15,00","R$ 13,00"
,KIWI NACIONAL,KG,"R$ 10,00","R$8,33","R$ 7,00"
,LARANJA DO CEU,KG,"R$ 3,33","R$3,05","R$ 2,22"
,LARANJA IMPORTADA,KG,"R$ 7,33","R$6,67","R$6,00"
,LARANJA SUCO,KG,"R$ 2,78","R$2,50","R$ 1,67"
,LARANJA UMBIGO (BAHIA),KG,"R$ 5,00","R$4,44","R$ 2,78"
,LICHIA,KG,"R$ 45,00","R$45,00","R$45,00"
,LIMA,KG,"R$ 13,88","R$8,33","R$ 8,33"
,LIMAO IMPORTADO,KG,"R$ 13,33","R$11,33","R$ 6,66"
,LIMAO SICILIANO,KG,"R$ 8,00","R$8,00","R$ 6,66"
,LIMAO TAITI,KG,"R$ 3,05","R$ 2,22","R$ 1,94"
,MACA FUJI IMPORTADA,KG,"R$ 14,44","R$11,11","R$ 5,55"
,MACA FUJI NACIONAL,KG,"R$ 5,56","R$5,00","R$ 3,61"
,MACA GALA IMPORTADA,KG,"R$ 10,00","R$7,22","R$ 7,22"
,MACA GALA NACIONAL,KG,"R$ 6,11","R$5,00","R$ 2,50"
,MACA GOLDEN IMPORTADA,KG,,,
,MACA GOLDEN NACIONAL,KG,,,
,MACA GRANNY SMITH,KG,"R$ 11,11","R$10,93","R$ 10,00"
,MACA RED DELICIOUS,KG,"R$ 9,44","R$9,17","R$ 7,78"
,MAMAO AMAZONAS (PAPAIA),KG,"R$ 13,00","R$12,00","R$ 7,00"
,MAMAO FORMOSA,KG,"R$ 6,00","R$5,50","R$ 4,50"
,MANGA,KG,"R$5,56","R$5,00","R$ 4,44"
,MANGOSTAO,KG,"R$ 85,00","R$85,00","R$ 85,00"
,MARACUJA AZEDO,KG,"R$ 6,00","R$5,00","R$ 3,00"
,MARACUJA DOCE,KG,"R$ 25,00","R$25,00","R$ 25,00"
,MARMELO NACIONAL,KG,,,
,MELANCIA,KG,"R$ 2,70","R$2,50","R$ 2,30"
,MELANCIA KODAMA / BABY,KG,"R$ 7,00","R$6,00","R$ 6,00"
,MELANCIA PINGO DOCE,KG,"R$ 8,00","R$5,00","R$ 4,00"
,MELAO CANTALOUPE,KG,"R$ 9,50","R$ 9,50","R$ 9,23"
,MELAO COMUM (GAUCHO),KG,,,
,MELAO ESPANHOL,KG,"R$ 6,92","R$5,38","R$5,38"
,MELAO GALIA,KG,"R$ 10,55","R$7,69","R$ 5,00"
,MELAO IMPORTADO,KG,,,
,MELAO REI,KG,"R$ 12,50","R$9,00","R$ 6,92"
,MELAO ORANGE,KG,"R$ 12,00","R$10,00","R$ 8,33"
,MELAO PELE DE SAPO,KG,"R$ 9,50","R$6,92","R$ 6,92"
,MIRTILO,KG,"R$ 115,55","R$106,67","R$ 106,67"
,MORANGO,KG,"R$ 40,00","R$30,00","R$ 15,00"
,NECTARINA,KG,"R$ 12,92","R$10,00","R$ 7,00"
,NECTARINA IMPORTADA,KG,"R$ 11,25","R$11,25","R$ 11,25"
,NESPERA,KG,"R$ 37,50","R$37,50","R$ 25,00"
,NOZ IMPORTADA,KG,,,
,NOZ PECA,KG,"R$ 25,00","R$20,00","R$ 15,00"
,PERA DANJOU,KG,"R$ 10,55","R$8,33","R$7,22"
,PERA NACIONAL,KG,"R$ 6,00","R$3,89","R$ 3,00"
,PERA VERMELHA,KG,"R$ 14,44","R$8,61","R$ 8,61"
,PERA WILLIAMS / PACKAMS,KG,"R$ 7,22","R$ 7,22","R$ 6,67"
,PESSEGO IMPORTADO,KG,"R$ 11,25","R$11,11","R$ 10,00"
,PESSEGO NACIONAL,KG,,,
,PITAYA,KG,"R$ 10,00","R$10,00","R$ 10,00"
,PITAYA IMPORTADA,KG,,,
,ROMÃ,KG,"R$ 22,50","R$22,50","R$ 22,50"
,TAMARA,KG,"R$ 34,00","R$34,00","R$ 30,00"
,TAMARINDO,KG,"R$ 50,00","R$50,00","R$ 50,00"
,TANGERINA COMUM / CAI,KG,"R$ 1,94","R$1,94","R$ 1,38"
