UF,Municipio,Mes/Ano de Referencia,Nome do Produto,Categoria,Preco Atual (R$),Preco Referencia Baseline (R$),Status do Semafaro (Cor),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
SP,ASSIS-SP,2025-08,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0700,2.0471,AMARELO,,Nao,Nao
SP,ASSIS-SP,2025-09,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0200,2.0471,AMARELO,,Nao,Nao
SP,ASSIS-SP,2025-10,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0300,2.0471,AMARELO,,Nao,Nao
SP,ASSIS-SP,2025-11,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0700,2.0471,AMARELO,,Nao,Nao
SP,ASSIS-SP,2025-12,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.1000,2.0471,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-06,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0400,2.0986,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-07,SOJA - EM GRÃOS,CEREAIS_GRAOS,1.9700,2.0986,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-08,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0400,2.0986,AMARELO,,Nao,Nao
SP,,2025-06,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0300,2.0586,AMARELO,,Nao,Nao
SP,,2025-07,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0000,2.0586,AMARELO,,Nao,Nao
SP,,2025-08,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0600,2.0586,AMARELO,,Nao,Nao
SP,,2025-09,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0700,2.0586,AMARELO,,Nao,Nao
SP,,2025-10,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0600,2.0586,AMARELO,,Nao,Nao
SP,,2025-11,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0800,2.0586,AMARELO,,Nao,Nao
SP,,2025-12,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.1100,2.0586,AMARELO,,Nao,Nao
SP,,2026-01,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0200,2.0586,AMARELO,,Nao,Nao
SP,,2026-02,SOJA - EM GRÃOS,CEREAIS_GRAOS,1.8900,2.0586,AMARELO,,Nao,Nao
SP,,2026-03,SOJA - EM GRÃOS,CEREAIS_GRAOS,1.9100,2.0586,AMARELO,,Nao,Nao
SP,,2026-04,SOJA - EM GRÃOS,CEREAIS_GRAOS,1.9100,2.0586,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-09,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.1900,2.0986,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-10,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.1200,2.0986,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-11,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.1500,2.0986,AMARELO,,Nao,Nao
SP,ORLÂNDIA-SP,2025-12,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.1800,2.0986,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-06,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0200,2.0214,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-07,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0100,2.0214,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-08,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0400,2.0214,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-09,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0500,2.0214,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-10,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0300,2.0214,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-11,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0000,2.0214,AMARELO,,Nao,Nao
SP,ARAÇATUBA-SP,2025-12,SOJA - EM GRÃOS,CEREAIS_GRAOS,2.0000,2.0214,AMARELO,,Nao,Nao
SP,,2026-07,Sororoca,PESCADOS,14.5000,14.5000,AMARELO,,Nao,Nao
SP,,2026-06,Tainha,PESCADOS,5.8200,5.8200,AMARELO,,Nao,Nao
SP,,2026-07,Tainha,PESCADOS,5.1500,5.1500,AMARELO,,Nao,Nao
