ID Produto,Categoria,Nome do Produto,UF,Municipio,Mes/Ano Referencia,Preco Atual (R$),Preco Referencia (Baseline - R$),Divergencia Matematica (%),Status do Semafaro (Cor no DB),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
769,ALIMENTO_VAREJO,CAFE - MOÍDO E TORRADO,PI,,2025-11,68.7600,65.4743,5.02,AMARELO,,Nao,Nao
787,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 58,RS,SÃO GABRIEL-RS,2025-12,1.0300,1.2214,-15.67,VERDE,,Nao,Nao
871,ALIMENTO_VAREJO,MAMAO - FORMOSA,ES,PINHEIROS-ES,2025-10,1.8400,1.8900,-2.65,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,SC,POUSO REDONDO-SC,2025-08,1.2700,1.1600,9.48,AMARELO,,Nao,Nao
858,PROTEINAS,CARNE BOVINA - COXÃO DURO S/OSSO,SC,FLORIANÓPOLIS-SC,2026-01,47.7700,48.9325,-2.38,AMARELO,,Nao,Nao
878,CEREAIS_GRAOS,FARINHA DE MANDIOCA - TIPO 1 BRANCA,PR,,2025-08,7.4400,7.5067,-0.89,AMARELO,,Nao,Nao
846,HORTIFRUTIGRANJEIROS,BATATA - NÃO INFORMADO,DF,BRASÍLIA-DF,2025-10,3.8600,4.0400,-4.46,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,MA,,2025-12,6.0600,5.6471,7.31,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PI,,2025-07,24.2000,26.0343,-7.05,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,MA,,2025-08,1.5500,1.3586,14.09,AMARELO,,Nao,Nao
857,CEREAIS_GRAOS,FARINHA DE TRIGO - SEM FERMENTO,ES,VITÓRIA-ES,2025-07,3.6000,3.6229,-0.63,AMARELO,,Nao,Nao
776,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO TIPO 1,CE,FORTALEZA-CE,2025-10,4.3500,5.4100,-19.59,VERDE,,Nao,Nao
904,ALIMENTO_VAREJO,FEIJAO - CAUPI,MT,SORRISO-MT,2025-08,2.1800,2.2200,-1.80,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,RJ,,2025-06,5.7200,5.9500,-3.87,AMARELO,,Nao,Nao
784,PROTEINAS,CARNE BOVINA - TRASEIRO SEM OSSO,CE,,2025-07,25.4600,26.4914,-3.89,AMARELO,,Nao,Nao
787,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 58,RS,DOM PEDRITO-RS,2025-06,1.3100,1.1943,9.69,AMARELO,,Nao,Nao
1098,HORTIFRUTIGRANJEIROS,Alho Porro,MS,,2026-06,18.0000,18.0000,0.00,AMARELO,,Sim,Nao
789,PROTEINAS,LEITE DE VACA - EM PÓ INTEGRAL,PE,RECIFE-PE,2025-10,31.4000,32.8371,-4.38,AMARELO,,Nao,Nao
776,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO TIPO 1,AL,MACEIÓ-AL,2025-09,5.4800,6.3171,-13.25,AMARELO,,Nao,Nao
807,CEREAIS_GRAOS,"TRIGO - PÃO, PH 80, TIPO 1",DF,,2025-12,1.2900,1.3900,-7.19,AMARELO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,AP,MACAPÁ-AP,2026-03,44.2700,43.2675,2.32,AMARELO,,Nao,Nao
899,ALIMENTO_VAREJO,OLEO DE BABACU - NÃO INFORMADO,PI,ESPERANTINA-PI,2025-07,10.0000,10.8400,-7.75,AMARELO,,Nao,Nao
754,CEREAIS_GRAOS,"TRIGO - PÃO, PH 75, TIPO 2",GO,,2025-07,1.2400,1.1829,4.83,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,TO,ARAGUAÍNA-TO,2025-11,1.3400,1.3471,-0.53,AMARELO,,Nao,Nao
762,ALIMENTO_VAREJO,MAMAO - NÃO INFORMADO,BA,MUCURI-BA,2025-06,0.9700,1.9600,-50.51,VERDE,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,SC,SÃO JOSÉ-SC,2025-06,8.3600,7.4114,12.80,AMARELO,,Nao,Nao
956,HORTIFRUTIGRANJEIROS,Laranja Baia,CE,"",2026-06,2.5000,2.5000,0.00,AMARELO,,Sim,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,MT,,2025-09,1.1800,1.0929,7.97,AMARELO,,Nao,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,AC,RIO BRANCO-AC,2026-01,4.6000,4.7414,-2.98,AMARELO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,MG,,2026-02,48.0800,45.1350,6.52,AMARELO,,Nao,Nao
933,HORTIFRUTIGRANJEIROS,Abóbora Japonesa,TO,"",2026-06,4.4400,4.4400,0.00,AMARELO,,Sim,Nao
838,CEREAIS_GRAOS,FARINHA DE TRIGO - NÃO INFORMADO,MG,,2025-10,4.5800,4.5250,1.22,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,PE,,2025-09,10.1300,10.4457,-3.02,AMARELO,,Nao,Nao
751,PROTEINAS,OVOS DE GALINHA - GRANDE BRANCO,SC,,2025-08,0.6300,0.6314,-0.22,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,PI,CONCEIÇÃO DO CANINDÉ-PI,2025-07,2.7300,2.0671,32.07,VERMELHO,,Nao,Nao
822,ALIMENTO_VAREJO,FEIJAO - COMUM CORES,DF,BRASÍLIA-DF,2025-10,3.5800,3.4814,2.83,AMARELO,,Nao,Nao
793,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA SEM,RO,,2025-07,10.6600,10.3533,2.96,AMARELO,,Nao,Nao
1102,HORTIFRUTIGRANJEIROS,Brócolos Ramoso,MT,,2026-07,25.4500,25.4500,0.00,AMARELO,,Sim,Nao
1127,HORTIFRUTIGRANJEIROS,Abacaxi Pérola,ES,,2026-07,7.0000,6.9400,0.86,AMARELO,,Sim,Nao
1169,HORTIFRUTIGRANJEIROS,Maçã Eva,TO,"",2026-06,5.2800,5.2800,0.00,AMARELO,,Sim,Nao
751,PROTEINAS,OVOS DE GALINHA - GRANDE BRANCO,PI,TERESINA-PI,2025-06,0.5000,0.6286,-20.46,VERDE,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,TO,,2025-09,2.1400,2.1486,-0.40,AMARELO,,Nao,Nao
913,PROTEINAS,CARNE SUINA - PERNIL COM OSSO CONG,SP,,2025-09,18.8600,19.2729,-2.14,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,MG,CAPINÓPOLIS-MG,2025-10,2.1400,2.1229,0.81,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,PI,,2025-09,10.2100,10.0600,1.49,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,MT,CUIABÁ-MT,2026-01,66.2700,67.9800,-2.52,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,ES,VITÓRIA-ES,2025-10,6.9800,6.1550,13.40,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,TO,,2026-04,0.9400,1.0771,-12.73,AMARELO,,Nao,Nao
769,ALIMENTO_VAREJO,CAFE - MOÍDO E TORRADO,GO,,2025-10,75.6200,66.3229,14.02,AMARELO,,Nao,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,RS,PORTO ALEGRE-RS,2025-08,4.7500,4.7143,0.76,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,GO,CRISTALINA-GO,2025-10,0.8900,0.8750,1.71,AMARELO,,Nao,Nao
815,CEREAIS_GRAOS,ARROZ - LONGO FINO ORGÂNICO(,RS,,2026-03,1.5500,1.5500,0.00,AMARELO,,Nao,Nao
897,PROTEINAS,CARNE SUINA - CARCAÇA CONGELADA,MG,BELO HORIZONTE-MG,2025-06,12.5900,12.9943,-3.11,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,MS,,2025-10,3.2500,1.6075,102.18,VERMELHO,,Nao,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,PI,TERESINA-PI,2025-07,20.2600,19.8671,1.98,AMARELO,,Nao,Nao
846,HORTIFRUTIGRANJEIROS,BATATA - NÃO INFORMADO,RO,,2026-05,7.5200,7.5200,0.00,AMARELO,,Sim,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,SC,SÃO JOSÉ-SC,2025-11,6.8400,7.4114,-7.71,AMARELO,,Nao,Nao
971,HORTIFRUTIGRANJEIROS,Tomate Caqui,PR,,2024-03,34.7875,77.5000,-55.11,VERDE,,Nao,Sim
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,MG,BELO HORIZONTE-MG,2026-03,4.3600,4.1243,5.71,AMARELO,,Nao,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,RS,,2026-05,0.4900,0.9725,-49.61,VERDE,,Nao,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,RS,,2025-11,4.4600,4.7700,-6.50,AMARELO,,Nao,Nao
819,ALIMENTO_VAREJO,OLEO DE PEQUI - NÃO INFORMADO,CE,JARDIM-CE,2025-10,80.0000,83.2914,-3.95,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PE,SERRA TALHADA-PE,2025-09,1.7500,1.6986,3.03,AMARELO,,Nao,Nao
769,ALIMENTO_VAREJO,CAFE - MOÍDO E TORRADO,TO,PALMAS-TO,2025-11,73.7600,68.8857,7.08,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,ES,ALFREDO CHAVES-ES,2025-11,1.2500,1.3314,-6.11,AMARELO,,Nao,Nao
2458,HORTIFRUTIGRANJEIROS,Manga Rosa,AL,,2026-06,2.4000,2.4000,0.00,AMARELO,,Sim,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,RO,VILHENA-RO,2025-06,0.7100,0.9800,-27.55,VERDE,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,PA,MONTE ALEGRE-PA,2025-11,1.3500,1.5643,-13.70,AMARELO,,Nao,Nao
767,PROTEINAS,CARNE BOVINA - DIANTEIRO COM OSSO,MG,BELO HORIZONTE-MG,2025-11,19.0000,18.4014,3.25,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,TO,,2026-05,1.3200,1.2286,7.44,AMARELO,,Nao,Nao
911,PROTEINAS,CARNE BOVINA - COXÃO MOLE S/OSSO,CE,,2025-11,49.1700,49.2925,-0.25,AMARELO,,Nao,Nao
781,CEREAIS_GRAOS,FARINHA DE MANDIOCA - GROSSA(O) SECA BRANC,PI,,2026-03,2.6500,2.5786,2.77,AMARELO,,Nao,Nao
