ID Produto,Categoria,Nome do Produto,UF,Municipio,Mes/Ano Referencia,Preco Atual (R$),Preco Referencia (Baseline - R$),Divergencia Matematica (%),Status do Semafaro (Cor no DB),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
2509,HORTIFRUTIGRANJEIROS,Alface Lisa,MA,,2026-07,26.1800,29.3400,-10.77,AMARELO,,Sim,Nao
2189,HORTIFRUTIGRANJEIROS,Abóbora D´Agua,RS,,2026-07,2.4100,2.9550,-18.44,VERDE,,Sim,Nao
751,PROTEINAS,OVOS DE GALINHA - GRANDE BRANCO,PA,SANTA ISABEL DO PARÁ-PA,2025-06,0.5000,0.4743,5.42,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,MA,SÃO LUÍS-MA,2025-11,62.7800,62.3175,0.74,AMARELO,,Nao,Nao
753,HORTIFRUTIGRANJEIROS,MILHO - DE PIPOCA,MT,PRIMAVERA DO LESTE-MT,2025-06,1.7500,1.6457,6.34,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,SC,SÃO JOSÉ-SC,2025-09,6.5600,7.4114,-11.49,AMARELO,,Nao,Nao
767,PROTEINAS,CARNE BOVINA - DIANTEIRO COM OSSO,RS,PORTO ALEGRE-RS,2025-11,34.1200,36.2629,-5.91,AMARELO,,Nao,Nao
763,ALIMENTO_VAREJO,ACUCAR - CRISTAL,PA,,2025-12,3.8800,3.9329,-1.35,AMARELO,,Nao,Nao
1126,HORTIFRUTIGRANJEIROS,Tomate Italiano - Pizzadoro,SP,,2026-05,97.5000,97.5000,0.00,AMARELO,,Nao,Nao
1134,HORTIFRUTIGRANJEIROS,Maça Red Del Importada,BA,,2026-06,7.2000,7.2000,0.00,AMARELO,,Sim,Nao
824,ALIMENTO_VAREJO,FLOCOS DE MILHO - ENRIQUECIDO,BA,,2025-06,3.3800,3.4400,-1.74,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,PA,BELÉM-PA,2026-02,0.8100,0.8100,0.00,AMARELO,,Nao,Nao
831,CEREAIS_GRAOS,FARINHA DE MANDIOCA - TORRADA BRANCA,PA,,2026-03,8.4300,10.7550,-21.62,VERDE,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PB,JOÃO PESSOA-PB,2025-06,1.4000,1.3400,4.48,AMARELO,,Nao,Nao
1160,HORTIFRUTIGRANJEIROS,Beterraba,RN,,2026-06,4.0000,3.7500,6.67,AMARELO,,Sim,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,MG,,2026-02,2.1300,2.6214,-18.75,VERDE,,Nao,Nao
1000,HORTIFRUTIGRANJEIROS,Abacate Quintal,BA,,2026-07,4.0000,4.2500,-5.88,AMARELO,,Sim,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,RS,PASSO FUNDO-RS,2025-08,2.0700,2.0486,1.04,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,SC,PALMITOS-SC,2025-12,1.2200,1.1071,10.20,AMARELO,,Nao,Nao
774,HORTIFRUTIGRANJEIROS,BATATA - INGLESA BRANCA,RS,,2025-08,0.9100,1.0600,-14.15,AMARELO,,Nao,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,DF,BRASÍLIA-DF,2025-09,0.9100,0.8950,1.68,AMARELO,,Nao,Nao
1175,HORTIFRUTIGRANJEIROS,Manga Palmer,SC,,2026-06,5.0000,5.5000,-9.09,AMARELO,,Sim,Nao
871,ALIMENTO_VAREJO,MAMAO - FORMOSA,ES,PINHEIROS-ES,2025-07,2.8100,1.8900,48.68,VERMELHO,,Nao,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,CE,,2026-03,21.0300,20.5600,2.29,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,ES,ICONHA-ES,2025-07,1.7200,1.5829,8.66,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,MS,MARACAJU-MS,2025-08,2.0700,2.0600,0.49,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,RN,NATAL-RN,2025-06,9.0400,9.5171,-5.01,AMARELO,,Nao,Nao
895,ALIMENTO_VAREJO,"CAFE - ARÁBICA TIPO 6, BEBI",RJ,,2025-12,34.9800,33.2371,5.24,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,AP,MACAPÁ-AP,2026-05,10.9800,9.0475,21.36,VERMELHO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,GO,,2026-04,54.2600,54.0425,0.40,AMARELO,,Nao,Nao
1812,ALIMENTO_VAREJO,Cebola Importada Espanha,RS,,2026-06,4.5000,4.6050,-2.28,AMARELO,,Sim,Nao
888,ALIMENTO_VAREJO,FEIJAO - CAUPI TIPO 1,PI,,2025-10,5.7600,6.0143,-4.23,AMARELO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,PE,,2026-05,48.3500,44.9750,7.50,AMARELO,,Nao,Nao
1169,HORTIFRUTIGRANJEIROS,Maçã Eva,RN,,2026-06,7.8000,7.8000,0.00,AMARELO,,Sim,Nao
791,ALIMENTO_VAREJO,"CEBOLA - CLASSE 3, EXTRA AMAR",RS,,2025-12,0.8000,0.8050,-0.62,AMARELO,,Nao,Nao
908,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO,ES,DOMINGOS MARTINS-ES,2025-10,5.6100,5.0129,11.91,AMARELO,,Nao,Nao
2517,ALIMENTO_VAREJO,Cebola Pérola,BA,,2026-06,5.0000,5.0000,0.00,AMARELO,,Sim,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,SE,ARACAJU-SE,2026-04,5.5300,4.8029,15.14,VERMELHO,,Nao,Nao
964,HORTIFRUTIGRANJEIROS,Chuchu,BA,,2026-07,2.4000,2.4000,0.00,AMARELO,,Sim,Nao
763,ALIMENTO_VAREJO,ACUCAR - CRISTAL,BA,,2026-04,3.6300,3.8914,-6.72,AMARELO,,Nao,Nao
789,PROTEINAS,LEITE DE VACA - EM PÓ INTEGRAL,PR,PINHAIS-PR,2025-08,35.4300,35.3386,0.26,AMARELO,,Nao,Nao
1118,ALIMENTO_VAREJO,Cebola Roxa,RN,,2026-06,5.0000,5.0000,0.00,AMARELO,,Sim,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,MG,,2026-04,9.2200,6.1971,48.78,VERMELHO,,Nao,Nao
1686,HORTIFRUTIGRANJEIROS,Kiwi Green NZL Importado,SP,,2026-07,33.5900,33.3850,0.61,AMARELO,,Sim,Nao
1006,HORTIFRUTIGRANJEIROS,Couve de Bruxelas,PR,,2026-07,6.2500,6.2500,0.00,AMARELO,,Sim,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,AL,,2025-06,6.7300,5.3343,26.16,VERMELHO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,PI,GUADALUPE-PI,2025-08,2.3600,2.0671,14.17,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,RS,ERECHIM-RS,2025-12,2.2300,2.1829,2.16,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,RS,LAJEADO-RS,2025-12,1.2900,1.2243,5.37,AMARELO,,Nao,Nao
913,PROTEINAS,CARNE SUINA - PERNIL COM OSSO CONG,SC,,2025-12,15.9000,15.0214,5.85,AMARELO,,Nao,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,BA,,2026-01,5.5000,5.2186,5.39,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PE,PETROLINA-PE,2025-09,1.7100,1.7071,0.17,AMARELO,,Nao,Nao
776,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO TIPO 1,MG,,2025-07,6.0400,5.3029,13.90,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,RO,,2025-09,49.9700,48.9800,2.02,AMARELO,,Nao,Nao
773,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA AMARELO (A) 1,RO,PORTO VELHO-RO,2025-06,5.3200,5.3086,0.21,AMARELO,,Nao,Nao
757,ALIMENTO_VAREJO,CAFE - CONILLON,AC,,2025-10,18.3300,19.7943,-7.40,AMARELO,,Nao,Nao
787,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 58,RS,CAMAQUÃ-RS,2025-11,1.1500,1.2829,-10.36,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,CE,FORTALEZA-CE,2025-08,5.7400,5.3929,6.44,AMARELO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,AL,,2025-11,44.2500,45.2700,-2.25,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,BA,SALVADOR-BA,2025-12,5.0800,5.1100,-0.59,AMARELO,,Nao,Nao
842,CEREAIS_GRAOS,"TRIGO - PÃO, PH 78, TIPO 1",PR,CAMPO MOURÃO-PR,2025-12,1.2800,1.3671,-6.37,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,DF,,2025-11,0.6800,2.7229,-75.03,VERDE,,Nao,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,RN,NATAL-RN,2026-02,14.8500,15.4229,-3.71,AMARELO,,Nao,Nao
1100,PESCADOS,Guaivira,SP,,2026-07,3.9000,3.9000,0.00,AMARELO,,Sim,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,RO,PORTO VELHO-RO,2026-04,1.0100,5.4857,-81.59,VERDE,,Nao,Nao
842,CEREAIS_GRAOS,"TRIGO - PÃO, PH 78, TIPO 1",PR,CASCAVEL-PR,2025-10,1.3100,1.3371,-2.03,AMARELO,,Nao,Nao
838,CEREAIS_GRAOS,FARINHA DE TRIGO - NÃO INFORMADO,MS,,2026-02,4.3800,4.6475,-5.76,AMARELO,,Nao,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,AP,MACAPÁ-AP,2026-01,16.3100,15.3550,6.22,AMARELO,,Nao,Nao
1018,HORTIFRUTIGRANJEIROS,Mamão Formosa,CE,"",2026-06,5.0000,4.5000,11.11,AMARELO,,Sim,Nao
2189,HORTIFRUTIGRANJEIROS,Abóbora D´Agua,AL,,2026-07,2.0000,2.0000,0.00,AMARELO,,Sim,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,ES,VITÓRIA-ES,2026-04,0.6900,0.8250,-16.36,VERDE,,Nao,Nao
776,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO TIPO 1,MS,,2025-08,6.5600,5.9714,9.86,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,AC,RIO BRANCO-AC,2025-09,11.0800,10.3457,7.10,AMARELO,,Nao,Nao
913,PROTEINAS,CARNE SUINA - PERNIL COM OSSO CONG,SP,,2025-06,20.2700,19.2729,5.17,AMARELO,,Nao,Nao
834,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA TIPO 1 SECA,ES,,2025-10,4.3200,4.5000,-4.00,AMARELO,,Nao,Nao
897,PROTEINAS,CARNE SUINA - CARCAÇA CONGELADA,SC,,2025-12,14.9000,13.8129,7.87,AMARELO,,Nao,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,SE,ARACAJU-SE,2025-07,5.2800,5.5186,-4.32,AMARELO,,Nao,Nao
895,ALIMENTO_VAREJO,"CAFE - ARÁBICA TIPO 6, BEBI",RJ,,2026-01,34.7700,33.2371,4.61,AMARELO,,Nao,Nao
804,ALIMENTO_VAREJO,FLOCOS DE MILHO - FLOCÃO,AM,,2025-10,4.2700,4.2000,1.67,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,PR,CASTRO-PR,2025-08,2.8200,2.7486,2.60,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PE,,2025-06,26.2900,27.3357,-3.83,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,MT,CUIABÁ-MT,2025-09,1.2200,1.1750,3.83,AMARELO,,Nao,Nao
751,PROTEINAS,OVOS DE GALINHA - GRANDE BRANCO,DF,,2026-01,0.3500,0.4843,-27.73,VERDE,,Nao,Nao
793,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA SEM,RO,PORTO VELHO-RO,2025-06,9.9200,10.3533,-4.19,AMARELO,,Nao,Nao
888,ALIMENTO_VAREJO,FEIJAO - CAUPI TIPO 1,AL,MACEIÓ-AL,2025-09,6.7800,7.5371,-10.04,AMARELO,,Nao,Nao
834,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA TIPO 1 SECA,PE,RECIFE-PE,2025-06,5.6900,6.0443,-5.86,AMARELO,,Nao,Nao
917,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA SECA BRANCA,BA,CONCEIÇÃO DA FEIRA-BA,2025-09,3.7500,3.7271,0.61,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,MT,ARAPUTANGA-MT,2025-09,2.0200,1.9957,1.22,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,RO,PORTO VELHO-RO,2025-10,9.7100,9.1314,6.34,AMARELO,,Nao,Nao
838,CEREAIS_GRAOS,FARINHA DE TRIGO - NÃO INFORMADO,MA,,2026-05,4.9300,4.9300,0.00,AMARELO,,Sim,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,MA,IMPERATRIZ-MA,2025-07,2.2300,2.1243,4.98,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PB,MONTEIRO-PB,2025-07,1.3300,1.3386,-0.64,AMARELO,,Nao,Nao
2458,HORTIFRUTIGRANJEIROS,Manga Rosa,PB,"",2026-06,3.4600,3.4600,0.00,AMARELO,,Sim,Nao
1195,HORTIFRUTIGRANJEIROS,Maça Gala Importada,SP,,2026-02,105.5100,105.5100,0.00,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,BA,SALVADOR-BA,2025-12,6.9600,6.6400,4.82,AMARELO,,Nao,Nao
1079,HORTIFRUTIGRANJEIROS,Batata Doce Roxa,SP,,2024-03,39.2263,94.3750,-58.44,VERDE,,Nao,Sim
858,PROTEINAS,CARNE BOVINA - COXÃO DURO S/OSSO,GO,GOIÂNIA-GO,2025-12,42.0600,41.0775,2.39,AMARELO,,Nao,Nao
2509,HORTIFRUTIGRANJEIROS,Alface Lisa,RJ,"",2026-06,16.6700,18.3350,-9.08,AMARELO,,Sim,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,MT,,2026-03,6.0600,5.7729,4.97,AMARELO,,Nao,Nao
764,HORTIFRUTIGRANJEIROS,LARANJA - DE MESA PERA,DF,,2025-07,2.1900,2.2157,-1.16,AMARELO,,Nao,Nao
852,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA TIPO 1 D'ÁGUA,RR,,2025-10,10.8900,11.2486,-3.19,AMARELO,,Nao,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,TO,PALMAS-TO,2025-07,4.6600,4.3557,6.99,AMARELO,,Nao,Nao
871,ALIMENTO_VAREJO,MAMAO - FORMOSA,ES,PINHEIROS-ES,2025-06,1.3800,1.8900,-26.98,VERDE,,Nao,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,MS,CAMPO GRANDE-MS,2025-06,3.0000,2.2300,34.53,VERMELHO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,BA,SALVADOR-BA,2025-08,6.4700,6.6400,-2.56,AMARELO,,Nao,Nao
976,HORTIFRUTIGRANJEIROS,Banana Prata SP,SP,,2024-08,11.4435,23.0220,-50.29,VERDE,,Nao,Sim
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,AP,,2026-05,45.9600,43.2675,6.22,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,MG,,2025-10,3.7000,2.9386,25.91,VERMELHO,,Nao,Nao
1018,HORTIFRUTIGRANJEIROS,Mamão Formosa,MT,,2026-07,4.2100,4.2100,0.00,AMARELO,,Sim,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,SP,,2026-04,1.0700,2.3000,-53.48,VERDE,,Nao,Nao
888,ALIMENTO_VAREJO,FEIJAO - CAUPI TIPO 1,AM,MANAUS-AM,2025-08,7.5800,6.7271,12.68,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,PI,,2025-10,2.5000,2.5000,0.00,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,MT,QUERÊNCIA-MT,2025-07,1.8200,1.9029,-4.36,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,AM,,2025-08,11.0300,9.2029,19.85,VERMELHO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,RS,PELOTAS-RS,2025-07,2.4000,2.2643,5.99,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,AC,RIO BRANCO-AC,2025-06,1.5900,1.6271,-2.28,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,PR,,2025-06,7.5600,7.0429,7.34,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,PI,,2026-03,66.0300,66.4625,-0.65,AMARELO,,Nao,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,RR,,2026-05,11.0200,11.5471,-4.56,AMARELO,,Nao,Nao
895,ALIMENTO_VAREJO,"CAFE - ARÁBICA TIPO 6, BEBI",SP,FRANCA-SP,2025-12,37.6200,35.1943,6.89,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,SC,,2025-12,66.4300,67.7900,-2.01,AMARELO,,Nao,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,TO,PALMAS-TO,2026-04,6.4600,5.2429,23.21,VERMELHO,,Nao,Nao
772,HORTIFRUTIGRANJEIROS,BATATA - INGLESA,BA,,2026-05,5.8500,2.3986,143.89,VERMELHO,,Nao,Nao
879,PROTEINAS,OVOS DE GALINHA - TIPO A BRANCO,AM,MANAUS-AM,2025-06,0.6800,0.6300,7.94,AMARELO,,Nao,Nao
833,ALIMENTO_VAREJO,MACARRAO - ESPAGUETE SÊMOLA COM,SP,SÃO PAULO-SP,2025-12,6.3600,6.8257,-6.82,AMARELO,,Nao,Nao
813,CEREAIS_GRAOS,FARINHA DE MANDIOCA - FINA TIPO 1 D'ÁGUA E,CE,,2025-06,4.4600,4.3700,2.06,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,MA,,2026-05,6.5800,5.6471,16.52,VERMELHO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PI,,2025-10,27.0200,26.0343,3.79,AMARELO,,Nao,Nao
895,ALIMENTO_VAREJO,"CAFE - ARÁBICA TIPO 6, BEBI",PR,,2025-10,33.1500,31.6400,4.77,AMARELO,,Nao,Nao
911,PROTEINAS,CARNE BOVINA - COXÃO MOLE S/OSSO,SP,SÃO PAULO-SP,2025-09,50.8500,51.3400,-0.95,AMARELO,,Nao,Nao
751,PROTEINAS,OVOS DE GALINHA - GRANDE BRANCO,MT,,2025-08,0.5400,0.4843,11.50,AMARELO,,Nao,Nao
961,ALIMENTO_VAREJO,Cebola Importada Holanda,ES,,2026-07,5.4400,5.3050,2.54,AMARELO,,Sim,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,SE,,2025-07,1.3500,1.3329,1.28,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,AL,SANTANA DO IPANEMA-AL,2025-12,22.7800,20.5786,10.70,AMARELO,,Nao,Nao
789,PROTEINAS,LEITE DE VACA - EM PÓ INTEGRAL,SE,ARACAJU-SE,2025-08,36.6000,36.5414,0.16,AMARELO,,Nao,Nao
876,ALIMENTO_VAREJO,CAFE - CONILLON BICA CORRID,RO,ALTO ALEGRE DOS PARECIS-RO,2025-07,16.2800,19.8186,-17.85,VERDE,,Nao,Nao
815,CEREAIS_GRAOS,ARROZ - LONGO FINO ORGÂNICO(,RS,,2025-09,1.6200,1.5500,4.52,AMARELO,,Nao,Nao
971,HORTIFRUTIGRANJEIROS,Tomate Caqui,SP,,2026-01,94.0210,94.1199,-0.11,AMARELO,,Nao,Nao
911,PROTEINAS,CARNE BOVINA - COXÃO MOLE S/OSSO,PE,,2026-04,47.6600,44.3625,7.43,AMARELO,,Nao,Nao
849,PROTEINAS,OVOS DE GALINHA - VERMELHO EXTRA,ES,,2025-08,0.4700,0.4771,-1.49,AMARELO,,Nao,Nao
846,HORTIFRUTIGRANJEIROS,BATATA - NÃO INFORMADO,SC,FLORIANÓPOLIS-SC,2026-01,4.3500,4.0200,8.21,AMARELO,,Nao,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,RJ,,2025-06,5.5400,6.2871,-11.88,AMARELO,,Nao,Nao
830,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA TIPO 2 SECA,CE,FORTALEZA-CE,2025-10,3.1400,3.0943,1.48,AMARELO,,Nao,Nao
911,PROTEINAS,CARNE BOVINA - COXÃO MOLE S/OSSO,MT,,2025-11,43.1800,42.9925,0.44,AMARELO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,SE,ARACAJU-SE,2025-10,41.7900,41.8825,-0.22,AMARELO,,Nao,Nao
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,GO,GOIÂNIA-GO,2025-11,0.7100,0.7000,1.43,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,SC,FLORIANÓPOLIS-SC,2025-11,9.7100,9.5100,2.10,AMARELO,,Nao,Nao
832,ALIMENTO_VAREJO,FLOCOS DE MILHO - PRE-COZIDO,RN,,2025-10,3.2500,3.3057,-1.68,AMARELO,,Nao,Nao
1075,PESCADOS,Corvina Água Doce,SP,,2026-06,6.3900,6.3900,0.00,AMARELO,,Sim,Nao
1126,HORTIFRUTIGRANJEIROS,Tomate Italiano - Pizzadoro,SP,,2025-05,97.5000,97.5000,0.00,AMARELO,,Nao,Nao
838,CEREAIS_GRAOS,FARINHA DE TRIGO - NÃO INFORMADO,SC,,2025-11,4.4500,4.4825,-0.73,AMARELO,,Nao,Nao
907,ALIMENTO_VAREJO,ACUCAR - REFINADO,SP,,2025-06,4.3600,4.5543,-4.27,AMARELO,,Nao,Nao
836,CEREAIS_GRAOS,FARINHA DE MANDIOCA - CRUA BRANCA,PB,,2025-11,6.6300,6.6675,-0.56,AMARELO,,Nao,Nao
754,CEREAIS_GRAOS,"TRIGO - PÃO, PH 75, TIPO 2",MS,,2026-05,1.1000,1.0671,3.08,AMARELO,,Nao,Nao
2104,ALIMENTO_VAREJO,Alho Importado Estados Unidos,RN,,2026-06,23.5000,23.5000,0.00,AMARELO,,Sim,Nao
845,HORTIFRUTIGRANJEIROS,BATATA-DOCE - NÃO INFORMADO,PR,,2025-10,0.7500,0.4400,70.45,VERMELHO,,Nao,Nao
769,ALIMENTO_VAREJO,CAFE - MOÍDO E TORRADO,AP,,2026-05,64.1900,66.0614,-2.83,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,SC,PALMITOS-SC,2026-01,2.1600,2.1057,2.58,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PA,PARAGOMINAS-PA,2025-07,0.9800,1.0657,-8.04,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,PE,RECIFE-PE,2025-10,5.4600,5.1275,6.48,AMARELO,,Nao,Nao
820,PROTEINAS,OVOS DE GALINHA - VERMELHO TIPO GRANDE,RS,,2025-08,1.0300,1.0114,1.84,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,AM,,2025-11,7.9400,9.2029,-13.72,AMARELO,,Nao,Nao
800,PROTEINAS,CARNE BOVINA - PONTA DE AGULHA,RS,,2025-11,38.7000,36.3914,6.34,AMARELO,,Nao,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,CE,FORTALEZA-CE,2026-02,71.8700,71.5850,0.40,AMARELO,,Nao,Nao
769,ALIMENTO_VAREJO,CAFE - MOÍDO E TORRADO,BA,,2025-06,66.6500,68.2957,-2.41,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,AL,,2025-11,1.1900,1.2314,-3.36,AMARELO,,Nao,Nao
845,HORTIFRUTIGRANJEIROS,BATATA-DOCE - NÃO INFORMADO,RN,,2025-09,0.2800,0.3043,-7.99,AMARELO,,Nao,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,RS,BAGÉ-RS,2025-11,2.0900,2.0514,1.88,AMARELO,,Nao,Nao
904,ALIMENTO_VAREJO,FEIJAO - CAUPI,PA,SANTARÉM-PA,2025-09,7.1900,7.6700,-6.26,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,SC,JARAGUÁ DO SUL-SC,2025-12,0.9600,1.1714,-18.05,VERDE,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,MA,PORTO FRANCO-MA,2025-06,2.1400,1.9829,7.92,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,ES,,2026-01,2.1100,2.5257,-16.46,VERDE,,Nao,Nao
902,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 BE,RJ,RIO DE JANEIRO-RJ,2025-12,4.3000,5.0771,-15.31,VERDE,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,SC,,2026-05,1.1300,1.1629,-2.83,AMARELO,,Nao,Nao
831,CEREAIS_GRAOS,FARINHA DE MANDIOCA - TORRADA BRANCA,BA,SALVADOR-BA,2025-10,7.3200,7.2750,0.62,AMARELO,,Nao,Nao
1749,HORTIFRUTIGRANJEIROS,Alface Romana Hidropônica,PR,,2026-06,25.0000,22.5000,11.11,AMARELO,,Sim,Nao
1126,HORTIFRUTIGRANJEIROS,Tomate Italiano - Pizzadoro,SP,,2025-10,97.5000,97.5000,0.00,AMARELO,,Nao,Nao
908,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO,RJ,,2025-06,3.1700,2.9336,8.06,AMARELO,,Nao,Nao
964,HORTIFRUTIGRANJEIROS,Chuchu,BR,"",2026-07,4.5000,4.5000,0.00,AMARELO,,Sim,Nao
837,CEREAIS_GRAOS,SOJA - EM GRÃOS,PI,BOM JESUS-PI,2025-06,1.9000,2.0443,-7.06,AMARELO,,Nao,Nao
