TRATOR                   ;280 CABINADO 4X4    ;12822;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;592415,0
TRATOR                   ;180 CABINADO 4X4 MAS;12860;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;536336,0
TRATOR                   ;110 CABINADO 4X4 JOH;12803;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;374667,0
TRATOR                   ;115 JOHN DEERE      ;11531;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;490244,5
TRATOR                   ;175 CABINADO 4X4    ;12816;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;591600,0
TRATOR                   ;320 CABINADO 4X4 JOH;12859;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1647607,0
TRATOR                   ;240 COM PILOTO AUTOM;12022;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1250000,0
TRATOR                   ;480 4X4             ;14071;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3200000,0
TRATOR                   ;140 4X4             ;10504;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;760000,0
TRATOR                   ;120 4X4             ;10261;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;430000,0
TRATOR                   ;110 4X4             ;10266;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;320000,0
TRATOR                   ;100 4X4 NEW HOLLAND ;8375;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;310000,0
TRATOR                   ;120 4X4 NEW HOLLAND ;5176;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;430000,0
TRATOR                   ;140                 ;13308;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;600000,0
TRATOR                   ;80                  ;12078;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;245000,0
TRATOR                   ;180 CABINADO 4X4 JOH;12806;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;710000,0
TRATOR                   ;100                 ;11981;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;310000,0
TRATOR                   ;150 4X4 NEW HOLLAND ;12001;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;600000,0
TRATOR                   ;90 4X4 NEW HOLLAND  ;12002;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;295000,0
TRATOR                   ;80 4X4 VALTRA       ;12011;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;245000,0
TRATOR                   ;80 CABINADO NEW HOLL;13662;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;245000,0
TRATOR                   ;130 JOHN DEERE      ;14761;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;550000,0
TRATOR                   ;100 JOHN DEERE      ;14689;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;400000,0
TRATOR                   ;100 CABINADO, COM GP;14575;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;369800,0
TRATOR                   ;80 CABINADO, COM GPS;13650;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;316116,84
TRATOR                   ;100 CABINADO 4X4    ;13651;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;325000,0
TRATOR                   ;90 4X4              ;13706;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;260000,0
TRATOR                   ;150 GPS E  PILOTO  A;14767;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;795000,0
TRATOR                   ;130 CABINADO, COM GP;14555;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;581206,0
TRATOR                   ;125 GPS E  PILOTO  A;14766;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;628836,0
TRATOR                   ;150 4X4             ;10262;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;412500,0
TRATOR                   ;120 4X4             ;10261;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;330000,0
TRATOR                   ;130                 ;12768;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;358863,0
TRATOR                   ;18 4 X 2            ;11637;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;81600,0
TRATOR                   ;80                  ;12078;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;253290,5
TRATOR                   ;120 4X4             ;10261;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;464000,0
TRATOR                   ;120 4X4             ;10261;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;380000,0
TRATOR                   ;110 4X4             ;10266;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;320000,0
TRATOR                   ;125 4X4             ;10773;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;380000,0
TRATOR                   ;100 4X4             ;11252;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;310000,0
TRATOR                   ;110 4X4 NEW HOLLAND ;14011;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;368000,0
TRATOR                   ;205                 ;14012;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;880000,0
TRATOR                   ;110 CABINADO, COM GP;13967;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;370000,0
TRATOR                   ;180 4X4 NEW HOLLAND ;13971;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;800000,0
TRATOR                   ;140 4X4 NEW HOLLAND ;5138;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;540000,0
TRATOR                   ;126 4X4 MASSEY FERGU;10973;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;435000,0
TRATOR                   ;30 AGRALE 4230      ;11464;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;165000,0
TRATOR                   ;48 YANMAR YM 347A   ;14237;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;180000,0
TRATOR                   ;14 MICRO TRATOR TOBA;13240;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
TRATOR                   ;75 4X4              ;10042;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;270000,0
TRATOR                   ;105                 ;14524;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;390000,0
TRATOR                   ;80 CABINADO NEW HOLL;13662;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;253571,43
TRATOR                   ;80                  ;12078;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;260000,0
TRATOR                   ;100                 ;11981;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;336000,0
TRATOR                   ;100 4X4             ;11252;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;310000,0
TRATOR                   ;90 4X4 NEW HOLLAND  ;12002;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;306250,0
TRATOR                   ;75 NEW HOLLAND TT388;10825;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;230000,0
