AMENDOIM                 ;EM CASCA            ;4674;PARANAVAÍ-PR                                      ;4118402                       ;PR        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,15
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;6;ATACADO                                                     ;17,13
AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,46
AMENDOIM                 ;EM CASCA            ;4674;BORBOREMA-SP                                      ;3507407                       ;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,93
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,95
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,89
AMENDOIM                 ;EM CASCA            ;4674;MOGEIRO-PB                                        ;2509404                       ;PB        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
AMENDOIM                 ;EM CASCA            ;4674;PARANAVAÍ-PR                                      ;4118402                       ;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,89
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;7;ATACADO                                                     ;16,27
AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,11
AMENDOIM                 ;EM CASCA            ;4674;BORBOREMA-SP                                      ;3507407                       ;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,9
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,83
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,78
AMENDOIM                 ;EM CASCA            ;4674;MOGEIRO-PB                                        ;2509404                       ;PB        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,62
AMENDOIM                 ;EM CASCA            ;4674;PARANAVAÍ-PR                                      ;4118402                       ;PR        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,81
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;8;ATACADO                                                     ;14,39
AMENDOIM                 ;EM CASCA            ;4674;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,42
AMENDOIM                 ;EM CASCA            ;4674;BORBOREMA-SP                                      ;3507407                       ;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,75
AMENDOIM                 ;EM CASCA            ;4674;JABOTICABAL-SP                                    ;3524303                       ;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,8
AMENDOIM                 ;EM CASCA            ;4674;TUPÃ-SP                                           ;3555000                       ;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,75
AMENDOIM                 ;EM CASCA            ;4674;MOGEIRO-PB                                        ;2509404                       ;PB        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,95
AMENDOIM                 ;EM CASCA            ;4674;PARANAVAÍ-PR                                      ;4118402                       ;PR        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,8
AMENDOIM                 ;DESCASCADO          ;6185;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;9;ATACADO                                                     ;15,26
