MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;9;ATACADO                                                     ;8,9
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;9;ATACADO                                                     ;8,95
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;9;VAREJO                                                      ;9,6
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;9;VAREJO                                                      ;10,09
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,17
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;9;VAREJO                                                      ;8,64
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;8,1
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;9;ATACADO                                                     ;8,3
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;9;VAREJO                                                      ;9,21
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;9;VAREJO                                                      ;8,64
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;8,31
OLEO DE SOJA             ;REFINADO            ;11871;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,3
OLEO DE SOJA             ;REFINADO            ;11871;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;9;VAREJO                                                      ;9,34
OLEO DE SOJA             ;REFINADO            ;11871;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;9;VAREJO                                                      ;8,86
OLEO DE SOJA             ;REFINADO            ;11871;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;9;ATACADO                                                     ;8,07
OLEO DE SOJA             ;REFINADO            ;11871;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;7,79
OLEO DE SOJA             ;REFINADO            ;11871;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;9;VAREJO                                                      ;8,47
OLEO DE SOJA             ;REFINADO            ;11871;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;9;VAREJO                                                      ;8,74
OLEO DE SOJA             ;REFINADO            ;11871;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;7,87
OLEO DE SOJA             ;REFINADO            ;11871;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;9;ATACADO                                                     ;9,29
OLEO DE SOJA             ;REFINADO            ;11871;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;9;VAREJO                                                      ;9,69
OLEO DE SOJA             ;REFINADO            ;11871;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;9;VAREJO                                                      ;10,07
OLEO DE SOJA             ;REFINADO            ;11871;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,64
OLEO DE SOJA             ;REFINADO            ;11871;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;9;VAREJO                                                      ;10,13
OLEO DE SOJA             ;REFINADO            ;11871;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,64
OLEO DE SOJA             ;REFINADO            ;11871;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;9;VAREJO                                                      ;9,81
OLEO DE SOJA             ;REFINADO            ;11871;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,32
OLEO DE SOJA             ;REFINADO            ;11871;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;9;VAREJO                                                      ;8,44
OLEO DE SOJA             ;REFINADO            ;11871;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;9;ATACADO                                                     ;7,96
OLEO DE SOJA             ;REFINADO            ;11871;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;9;VAREJO                                                      ;9,07
OLEO DE SOJA             ;REFINADO            ;11871;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;9;ATACADO                                                     ;8,28
OLEO DE SOJA             ;REFINADO            ;11871;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;9;VAREJO                                                      ;9,8
OLEO DE SOJA             ;REFINADO            ;11871;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,33
OLEO DE SOJA             ;REFINADO            ;11871;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;9;VAREJO                                                      ;9,27
OLEO DE SOJA             ;REFINADO            ;11871;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;9;ATACADO                                                     ;8,69
OLEO DE SOJA             ;REFINADO            ;11871;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;9;ATACADO                                                     ;8,54
OLEO DE SOJA             ;REFINADO            ;11871;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;9;VAREJO                                                      ;9,43
OLEO DE SOJA             ;REFINADO            ;11871;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;9;VAREJO                                                      ;9,07
OLEO DE SOJA             ;REFINADO            ;11871;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;9;ATACADO                                                     ;8,6
OLEO DE SOJA             ;REFINADO            ;11871;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2025;9;VAREJO                                                      ;9,11
OLEO DE SOJA             ;REFINADO            ;11871;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;9;ATACADO                                                     ;8,17
OLEO DE SOJA             ;REFINADO            ;11871;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;9;ATACADO                                                     ;9,0
OLEO DE SOJA             ;REFINADO            ;11871;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;9;VAREJO                                                      ;9,4
OLEO DE SOJA             ;REFINADO            ;11871;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;9;VAREJO                                                      ;8,74
OLEO DE SOJA             ;REFINADO            ;11871;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;9;ATACADO                                                     ;8,53
OLEO DE SOJA             ;REFINADO            ;11871;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;9;VAREJO                                                      ;10,07
OLEO DE SOJA             ;REFINADO            ;11871;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;9;ATACADO                                                     ;9,28
OLEO DE SOJA             ;REFINADO            ;11871;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;10;ATACADO                                                     ;9,62
OLEO DE SOJA             ;REFINADO            ;11871;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;10;VAREJO                                                      ;10,09
OLEO DE SOJA             ;REFINADO            ;11871;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,16
OLEO DE SOJA             ;REFINADO            ;11871;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,2
OLEO DE SOJA             ;REFINADO            ;11871;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;10;ATACADO                                                     ;10,27
OLEO DE SOJA             ;REFINADO            ;11871;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;10;VAREJO                                                      ;10,12
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;10;VAREJO                                                      ;9,08
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;10;ATACADO                                                     ;9,29
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,28
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;10;VAREJO                                                      ;9,86
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,21
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,39
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;10;VAREJO                                                      ;8,86
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;8,54
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;10;ATACADO                                                     ;9,14
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;10;VAREJO                                                      ;9,81
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;10;VAREJO                                                      ;8,9
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;8,75
OLEO DE SOJA             ;REFINADO            ;11871;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,79
OLEO DE SOJA             ;REFINADO            ;11871;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,01
OLEO DE SOJA             ;REFINADO            ;11871;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;10;VAREJO                                                      ;9,71
OLEO DE SOJA             ;REFINADO            ;11871;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;10;ATACADO                                                     ;8,93
OLEO DE SOJA             ;REFINADO            ;11871;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;8,07
OLEO DE SOJA             ;REFINADO            ;11871;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;10;VAREJO                                                      ;8,69
OLEO DE SOJA             ;REFINADO            ;11871;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;10;VAREJO                                                      ;9,19
OLEO DE SOJA             ;REFINADO            ;11871;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;8,66
OLEO DE SOJA             ;REFINADO            ;11871;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;10;ATACADO                                                     ;9,85
OLEO DE SOJA             ;REFINADO            ;11871;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;10;VAREJO                                                      ;10,36
OLEO DE SOJA             ;REFINADO            ;11871;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,62
OLEO DE SOJA             ;REFINADO            ;11871;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,88
OLEO DE SOJA             ;REFINADO            ;11871;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;10;ATACADO                                                     ;10,0
OLEO DE SOJA             ;REFINADO            ;11871;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,63
OLEO DE SOJA             ;REFINADO            ;11871;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,09
OLEO DE SOJA             ;REFINADO            ;11871;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,79
OLEO DE SOJA             ;REFINADO            ;11871;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;10;VAREJO                                                      ;8,72
OLEO DE SOJA             ;REFINADO            ;11871;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;10;ATACADO                                                     ;8,46
OLEO DE SOJA             ;REFINADO            ;11871;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;10;VAREJO                                                      ;9,3
OLEO DE SOJA             ;REFINADO            ;11871;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;10;ATACADO                                                     ;8,69
OLEO DE SOJA             ;REFINADO            ;11871;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,66
OLEO DE SOJA             ;REFINADO            ;11871;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;10;VAREJO                                                      ;10,12
OLEO DE SOJA             ;REFINADO            ;11871;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;10;VAREJO                                                      ;9,71
OLEO DE SOJA             ;REFINADO            ;11871;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;10;ATACADO                                                     ;8,69
OLEO DE SOJA             ;REFINADO            ;11871;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;10;ATACADO                                                     ;8,1
OLEO DE SOJA             ;REFINADO            ;11871;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;10;VAREJO                                                      ;9,8
OLEO DE SOJA             ;REFINADO            ;11871;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;10;VAREJO                                                      ;9,58
OLEO DE SOJA             ;REFINADO            ;11871;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;10;ATACADO                                                     ;9,01
OLEO DE SOJA             ;REFINADO            ;11871;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2025;10;VAREJO                                                      ;9,49
OLEO DE SOJA             ;REFINADO            ;11871;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;10;ATACADO                                                     ;8,6
OLEO DE SOJA             ;REFINADO            ;11871;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;10;ATACADO                                                     ;9,19
OLEO DE SOJA             ;REFINADO            ;11871;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;10;VAREJO                                                      ;9,87
OLEO DE SOJA             ;REFINADO            ;11871;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;10;VAREJO                                                      ;9,11
OLEO DE SOJA             ;REFINADO            ;11871;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;10;ATACADO                                                     ;9,28
OLEO DE SOJA             ;REFINADO            ;11871;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;10;VAREJO                                                      ;10,49
OLEO DE SOJA             ;REFINADO            ;11871;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;10;ATACADO                                                     ;9,04
OLEO DE SOJA             ;REFINADO            ;11871;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;11;VAREJO                                                      ;10,76
OLEO DE SOJA             ;REFINADO            ;11871;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;11;ATACADO                                                     ;9,62
OLEO DE SOJA             ;REFINADO            ;11871;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,92
OLEO DE SOJA             ;REFINADO            ;11871;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,29
OLEO DE SOJA             ;REFINADO            ;11871;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;11;VAREJO                                                      ;10,47
OLEO DE SOJA             ;REFINADO            ;11871;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;11;ATACADO                                                     ;10,13
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;11;ATACADO                                                     ;9,1
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;11;VAREJO                                                      ;10,92
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,02
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,5
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,61
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,5
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;11;VAREJO                                                      ;9,12
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;8,1
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;11;ATACADO                                                     ;9,32
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;11;VAREJO                                                      ;10,06
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;11;VAREJO                                                      ;8,99
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;8,93
OLEO DE SOJA             ;REFINADO            ;11871;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,75
OLEO DE SOJA             ;REFINADO            ;11871;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,18
OLEO DE SOJA             ;REFINADO            ;11871;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;11;VAREJO                                                      ;9,64
OLEO DE SOJA             ;REFINADO            ;11871;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;11;ATACADO                                                     ;8,89
OLEO DE SOJA             ;REFINADO            ;11871;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;8,74
OLEO DE SOJA             ;REFINADO            ;11871;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;11;VAREJO                                                      ;9,11
OLEO DE SOJA             ;REFINADO            ;11871;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;11;VAREJO                                                      ;9,38
OLEO DE SOJA             ;REFINADO            ;11871;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;8,6
OLEO DE SOJA             ;REFINADO            ;11871;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;11;ATACADO                                                     ;10,06
OLEO DE SOJA             ;REFINADO            ;11871;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;11;VAREJO                                                      ;10,67
OLEO DE SOJA             ;REFINADO            ;11871;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;11;VAREJO                                                      ;11,07
OLEO DE SOJA             ;REFINADO            ;11871;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;11;ATACADO                                                     ;10,16
OLEO DE SOJA             ;REFINADO            ;11871;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;11;VAREJO                                                      ;11,17
OLEO DE SOJA             ;REFINADO            ;11871;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;11;ATACADO                                                     ;10,2
OLEO DE SOJA             ;REFINADO            ;11871;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,5
OLEO DE SOJA             ;REFINADO            ;11871;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,89
OLEO DE SOJA             ;REFINADO            ;11871;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;11;VAREJO                                                      ;9,09
OLEO DE SOJA             ;REFINADO            ;11871;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;11;ATACADO                                                     ;8,14
OLEO DE SOJA             ;REFINADO            ;11871;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;11;VAREJO                                                      ;9,59
OLEO DE SOJA             ;REFINADO            ;11871;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;11;ATACADO                                                     ;8,97
OLEO DE SOJA             ;REFINADO            ;11871;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,41
OLEO DE SOJA             ;REFINADO            ;11871;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,75
OLEO DE SOJA             ;REFINADO            ;11871;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;11;VAREJO                                                      ;10,13
OLEO DE SOJA             ;REFINADO            ;11871;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;11;ATACADO                                                     ;9,69
OLEO DE SOJA             ;REFINADO            ;11871;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;11;ATACADO                                                     ;7,99
OLEO DE SOJA             ;REFINADO            ;11871;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;11;VAREJO                                                      ;9,93
OLEO DE SOJA             ;REFINADO            ;11871;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;11;VAREJO                                                      ;9,72
OLEO DE SOJA             ;REFINADO            ;11871;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;11;ATACADO                                                     ;9,32
OLEO DE SOJA             ;REFINADO            ;11871;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2025;11;VAREJO                                                      ;9,71
OLEO DE SOJA             ;REFINADO            ;11871;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;11;ATACADO                                                     ;9,06
OLEO DE SOJA             ;REFINADO            ;11871;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;11;ATACADO                                                     ;9,66
OLEO DE SOJA             ;REFINADO            ;11871;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;11;VAREJO                                                      ;10,07
OLEO DE SOJA             ;REFINADO            ;11871;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;11;VAREJO                                                      ;9,58
OLEO DE SOJA             ;REFINADO            ;11871;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;11;ATACADO                                                     ;9,34
OLEO DE SOJA             ;REFINADO            ;11871;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;11;VAREJO                                                      ;10,49
OLEO DE SOJA             ;REFINADO            ;11871;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;11;ATACADO                                                     ;8,74
OLEO DE SOJA             ;REFINADO            ;11871;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;12;VAREJO                                                      ;10,79
OLEO DE SOJA             ;REFINADO            ;11871;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;12;ATACADO                                                     ;10,27
OLEO DE SOJA             ;REFINADO            ;11871;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;12;ATACADO                                                     ;9,67
OLEO DE SOJA             ;REFINADO            ;11871;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;12;VAREJO                                                      ;10,21
OLEO DE SOJA             ;REFINADO            ;11871;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;12;VAREJO                                                      ;10,3
OLEO DE SOJA             ;REFINADO            ;11871;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;12;ATACADO                                                     ;10,64
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;12;ATACADO                                                     ;9,33
OLEO DE SOJA             ;REFINADO            ;11871;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;12;VAREJO                                                      ;10,87
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;12;VAREJO                                                      ;10,17
OLEO DE SOJA             ;REFINADO            ;11871;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;12;ATACADO                                                     ;9,5
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;12;VAREJO                                                      ;10,5
OLEO DE SOJA             ;REFINADO            ;11871;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;12;ATACADO                                                     ;9,61
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;12;ATACADO                                                     ;7,94
OLEO DE SOJA             ;REFINADO            ;11871;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;12;VAREJO                                                      ;8,94
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;12;VAREJO                                                      ;9,8
OLEO DE SOJA             ;REFINADO            ;11871;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;12;ATACADO                                                     ;8,83
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;12;ATACADO                                                     ;8,32
OLEO DE SOJA             ;REFINADO            ;11871;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;12;VAREJO                                                      ;8,86
