MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
MURUMURU                 ;FRUTO               ;11587;RODRIGUES ALVES-AC                                ;1200427                       ;AC        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,9
MURUMURU                 ;FRUTO               ;11587;ABAETETUBA-PA                                     ;1500107                       ;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,2
MURUMURU                 ;FRUTO               ;11587;COLARES-PA                                        ;1502608                       ;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,2
MURUMURU                 ;FRUTO               ;11587;RODRIGUES ALVES-AC                                ;1200427                       ;AC        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,91
MURUMURU                 ;FRUTO               ;11587;LÁBREA-AM                                         ;1302405                       ;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,35
MURUMURU                 ;FRUTO               ;11587;COLARES-PA                                        ;1502608                       ;PA        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,2
MURUMURU                 ;FRUTO               ;11587;RODRIGUES ALVES-AC                                ;1200427                       ;AC        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,91
MURUMURU                 ;FRUTO               ;11587;LÁBREA-AM                                         ;1302405                       ;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,4
MURUMURU                 ;FRUTO               ;11587;COLARES-PA                                        ;1502608                       ;PA        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,1
MURUMURU                 ;FRUTO               ;11587;RODRIGUES ALVES-AC                                ;1200427                       ;AC        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,95
MURUMURU                 ;FRUTO               ;11587;LÁBREA-AM                                         ;1302405                       ;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,5
MURUMURU                 ;FRUTO               ;11587;COLARES-PA                                        ;1502608                       ;PA        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,18
MURUMURU                 ;FRUTO               ;11587;RODRIGUES ALVES-AC                                ;1200427                       ;AC        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,92
MURUMURU                 ;FRUTO               ;11587;LÁBREA-AM                                         ;1302405                       ;AM        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,53
MURUMURU                 ;FRUTO               ;11587;COLARES-PA                                        ;1502608                       ;PA        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,2
MUSTANG 350 EC           ;EC 350 G/L ZETA-CIPE;10280;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;121,19
MUSTANG 350 EC           ;EC 350 G/L ZETA-CIPE;10280;MOJI MIRIM-SP                                     ;3530805                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;270,75
MUSTANG 350 EC           ;EC 350 G/L ZETA-CIPE;10280;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;117,82
MUSTANG 350 EC           ;EC 350 G/L ZETA-CIPE;10280;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;121,2
MYTHOS (ALTERNARIA)      ;300 G/L PIRIMETANIL ;15225;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;85,0
NATIVO                   ;200 G/l + 100 G/l TE;7359;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;78,0
NATIVO                   ;NÃO INFORMADO       ;7358;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;89,7
NATIVO                   ;200 G/l + 100 G/l TE;7359;LAGUNA CARAPÃ-MS                                  ;5005251                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;89,7
NATIVO                   ;200 G/l + 100 G/l TE;7359;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;109,61
