PERITO                   ;NÃO INFORMADO       ;13936;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;58,4
PERITO                   ;NÃO INFORMADO       ;13936;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;58,42
PERITO                   ;NÃO INFORMADO       ;13936;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;46,34
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;74,5
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;77,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;60,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;59,7
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;61,56
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;69,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;76,35
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;54,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;51,89
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;57,5
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;56,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;43,5
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;61,01
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;57,18
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;69,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SC        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;59,6
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;45,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;52,5
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;64,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;55,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;62,76
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;51,5
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;65,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;61,3
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;60,0
PERMIT                   ;800 G/L DIETOLATO FM;12520;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;174,0
PERMIT                   ;500 G/KG            ;10314;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;25,0
PERMIT                   ;500 G/KG            ;10314;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;24,61
PERMIT                   ;800 G/L DIETOLATO FM;12520;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;175,0
PERMIT                   ;500 G/KG            ;10314;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;28,0
PERMIT                   ;500 G/KG            ;10314;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;24,88
PERMIT                   ;500 G/KG            ;10314;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,35
PERNEIRA                 ;SEM VELCRO          ;13891;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
PERNEIRA                 ;NÃO INFORMADO       ;12294;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
PHOSTEK®                 ;FUMIGANTE (FU) 570 G;14514;SE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;151,66
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,4
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,15
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,16
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,64
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,09
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,74
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,06
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,59
PIACAVA                  ;NÃO BENEFICIADA     ;11475;AM        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,78
PIACAVA                  ;BENEFICIADA         ;11474;AM        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,96
PIACAVA                  ;BENEFICIADA         ;11474;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
PIACAVA                  ;NÃO BENEFICIADA     ;11475;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,53
