CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;8;ATACADO                                                     ;9,22
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;9,11
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;9;ATACADO                                                     ;9,08
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;11,08
CARNE DE FRANGO          ;CONGELADO           ;4244;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;9;ATACADO                                                     ;9,84
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;9;ATACADO                                                     ;10,9
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;9;ATACADO                                                     ;9,0
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;9,41
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;10;ATACADO                                                     ;8,84
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;10,79
CARNE DE FRANGO          ;CONGELADO           ;4244;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;10;ATACADO                                                     ;9,26
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;10;ATACADO                                                     ;10,96
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;10;ATACADO                                                     ;9,73
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;9,35
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;11;ATACADO                                                     ;9,29
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;10,58
CARNE DE FRANGO          ;CONGELADO           ;4244;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;11;ATACADO                                                     ;9,49
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;11;ATACADO                                                     ;11,05
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;11;ATACADO                                                     ;9,41
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;12;ATACADO                                                     ;9,66
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;12;ATACADO                                                     ;9,66
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;12;ATACADO                                                     ;10,53
CARNE DE FRANGO          ;CONGELADO           ;4244;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;12;ATACADO                                                     ;9,7
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;12;ATACADO                                                     ;10,74
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;12;ATACADO                                                     ;9,81
CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,5
CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,24
CARNE OVINA              ;CARCAÇA             ;11450;TOBIAS BARRETO-SE                                 ;2807402                       ;SE        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,12
