BATATA-DOCE              ;NÃO INFORMADO       ;9787;SANTA MARIA DE JETIBÁ-ES                          ;3204559                       ;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,48
BATATA-DOCE              ;NÃO INFORMADO       ;9787;POUSO ALEGRE-MG                                   ;3152501                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,61
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,3
BATATA-DOCE              ;AMARELA             ;11170;PEDRAS DE FOGO-PB                                 ;2511202                       ;PB        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,92
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CORRENTES-PE                                      ;2604700                       ;PE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,52
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DOS PINHAIS-PR                           ;4125506                       ;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,2
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BOM JARDIM-RJ                                     ;3300506                       ;RJ        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,28
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CACHOEIRAS DE MACACU-RJ                           ;3300803                       ;RJ        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,32
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MAGÉ-RJ                                           ;3302502                       ;RJ        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,64
BATATA-DOCE              ;NÃO INFORMADO       ;9787;NOVA FRIBURGO-RJ                                  ;3303401                       ;RJ        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,33
BATATA-DOCE              ;NÃO INFORMADO       ;9787;TRAJANO DE MORAES-RJ                              ;3305901                       ;RJ        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,38
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DE MIPIBU-RN                             ;2412203                       ;RN        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,35
BATATA-DOCE              ;AMARELA             ;11170;MARIANA PIMENTEL-RS                               ;4311981                       ;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,74
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BIGUAÇU-SC                                        ;4202305                       ;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,22
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,35
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ANHUMAS-SP                                        ;3502408                       ;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,12
BATATA-DOCE              ;NÃO INFORMADO       ;9787;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,4
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ARAPIRACA-AL                                      ;2700300                       ;AL        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
