produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ALOJAMENTO DE ALVENARIA  ;NÃO INFORMADO       ;4391;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ALTACOR                  ;350 G/KG CLORANTRANI;12655;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1100,0
ALTACOR                  ;350 G/KG CLORANTRANI;12655;BARRA DO CHOÇA-BA                                 ;2902906                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;1290,9
ALTACOR                  ;350 G/KG CLORANTRANI;12655;RIO BANANAL-ES                                    ;3204351                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;1365,0
ALTACOR                  ;NÃO INFORMADO       ;10029;GUAXUPÉ-MG                                        ;3128709                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;506,25
ALTACOR                  ;NÃO INFORMADO       ;10029;FRANCA-SP                                         ;3516200                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;1067,0
ALTACOR                  ;350 G/KG CLORANTRANI;12655;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;992,44
ALTACOR                  ;350 G/KG CLORANTRANI;12655;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;995,0
ALTO                     ;100 100 G/L CIPROCON;3977;PINHEIROS-ES                                      ;3204104                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;102,0
ALUGUEL DE CAMINHAO      ;CAMINHÃO + COTTON LO;12533;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;MUNCK               ;13316;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;15 TONELADAS TRUCK  ;12095;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;15 TONELADAS PAGO PO;14234;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;253,0
ALUGUEL DE CAMINHAO      ;MUNCK               ;13316;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;160                 ;13297;PENÁPOLIS-SP                                      ;3537305                       ;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;NÃO INFORMADO       ;7174;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;CAMINHÃO + COTTON LO;12533;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;MUNCK               ;13316;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;15 TONELADAS TRUCK  ;12095;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHAO      ;MUNCK               ;13316;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CAMINHONETE   ;NÃO INFORMADO       ;8368;BELA VISTA DO PIAUÍ-PI                            ;2201556                       ;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE CARREGADEIRA  ;NÃO INFORMADO       ;13280;PENÁPOLIS-SP                                      ;3537305                       ;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
ALUGUEL DE COLHEITADEIRA ;180 TC5070          ;10932;SANTO ANTÔNIO DA PATRULHA-RS                      ;4317608                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
