MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,93
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;6;VAREJO                                                      ;7,04
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;6;VAREJO                                                      ;7,56
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;6;ATACADO                                                     ;6,8
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;6;ATACADO                                                     ;9,46
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;6;VAREJO                                                      ;8,9
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;6;VAREJO                                                      ;11,18
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;6;ATACADO                                                     ;9,04
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;6;ATACADO                                                     ;10,25
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;6;VAREJO                                                      ;9,92
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;6;VAREJO                                                      ;10,52
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;6;ATACADO                                                     ;8,14
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;6;ATACADO                                                     ;8,32
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;6;VAREJO                                                      ;8,54
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;6;VAREJO                                                      ;8,36
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;6;ATACADO                                                     ;7,36
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;6;ATACADO                                                     ;8,82
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;6;VAREJO                                                      ;9,96
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;7,0
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;VAREJO                                                      ;7,4
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;6;ATACADO                                                     ;9,89
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;6;VAREJO                                                      ;7,6
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;7;ATACADO                                                     ;10,58
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;7;VAREJO                                                      ;9,26
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;7;VAREJO                                                      ;9,0
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;7;ATACADO                                                     ;7,3
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;7;VAREJO                                                      ;11,94
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;7;ATACADO                                                     ;9,98
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;7;ATACADO                                                     ;7,16
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;7;VAREJO                                                      ;10,04
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;7;ATACADO                                                     ;7,93
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;7;VAREJO                                                      ;8,24
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;ATACADO                                                     ;9,94
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;VAREJO                                                      ;9,8
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;5,56
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;5,79
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;ATACADO                                                     ;5,86
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;ATACADO                                                     ;8,72
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;VAREJO                                                      ;6,29
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;VAREJO                                                      ;8,64
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;8,24
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;7,6
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;10,18
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;7;VAREJO                                                      ;8,1
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;7;ATACADO                                                     ;8,25
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;ATACADO                                                     ;8,44
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;VAREJO                                                      ;9,34
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;9,9
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;7,72
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;8,47
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;9,04
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;7;ATACADO                                                     ;9,09
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;7;VAREJO                                                      ;8,54
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;7;VAREJO                                                      ;8,56
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;7;ATACADO                                                     ;9,2
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;9,2
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;7;ATACADO                                                     ;7,92
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;7;VAREJO                                                      ;10,13
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;7;ATACADO                                                     ;9,52
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;7;VAREJO                                                      ;7,3
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;7;VAREJO                                                      ;6,98
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;7;ATACADO                                                     ;6,83
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;7;ATACADO                                                     ;9,16
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;7;VAREJO                                                      ;8,96
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;VAREJO                                                      ;10,7
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;ATACADO                                                     ;9,38
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;ATACADO                                                     ;10,31
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;VAREJO                                                      ;10,66
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;7;ATACADO                                                     ;8,26
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;7;VAREJO                                                      ;10,78
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;7;VAREJO                                                      ;8,46
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;7;ATACADO                                                     ;8,1
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;7;ATACADO                                                     ;7,62
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;7;VAREJO                                                      ;8,92
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;7;ATACADO                                                     ;8,66
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;7;VAREJO                                                      ;10,38
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;7,1
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;VAREJO                                                      ;7,59
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;7;ATACADO                                                     ;9,95
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;7;VAREJO                                                      ;7,66
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;8;VAREJO                                                      ;9,38
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;8;ATACADO                                                     ;10,72
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;8;VAREJO                                                      ;9,14
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;8;ATACADO                                                     ;7,24
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;8;VAREJO                                                      ;12,08
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;8;ATACADO                                                     ;9,82
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;8;ATACADO                                                     ;7,02
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;8;VAREJO                                                      ;10,12
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;8;VAREJO                                                      ;8,54
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;8;ATACADO                                                     ;7,99
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;8;ATACADO                                                     ;10,21
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;8;VAREJO                                                      ;9,64
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;6,18
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;5,94
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;8;ATACADO                                                     ;6,12
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;8;VAREJO                                                      ;6,23
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;8;VAREJO                                                      ;8,58
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;8;ATACADO                                                     ;8,44
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;8,15
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;11,0
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;7,36
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;8;VAREJO                                                      ;7,95
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;8;ATACADO                                                     ;8,63
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;VAREJO                                                      ;9,62
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;ATACADO                                                     ;8,16
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;9,9
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;7,67
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;7,66
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;8,26
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;8;ATACADO                                                     ;9,06
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;8;VAREJO                                                      ;8,68
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;8;VAREJO                                                      ;8,64
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;8;ATACADO                                                     ;9,26
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;8;VAREJO                                                      ;10,18
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;8;ATACADO                                                     ;9,04
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;8;ATACADO                                                     ;10,42
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;8;VAREJO                                                      ;11,25
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;8;VAREJO                                                      ;6,94
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;8;VAREJO                                                      ;7,4
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;8;ATACADO                                                     ;6,65
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;8;ATACADO                                                     ;9,1
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;8;VAREJO                                                      ;8,94
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;8;VAREJO                                                      ;9,84
