Categoria,Produto,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
FLORES,Copo de Leite,B,B,B,B,B,B,A,A,A,A,M,M
FLORES,Cravo Comum,A,B,A,M,B,B,B,A,M,M,B,B
FLORES,Cravo Túnico,B,B,B,B,A,M,M,M,A,A,A,M
FLORES,Crisântemo Comum,B,B,M,B,B,B,B,M,A,A,A,A
FLORES,Crisântemo Polares Bola Belga,B,B,B,A,B,B,B,B,B,B,B,B
FLORES,Crisântemo,M,M,A,A,A,M,A,B,B,M,B,B
FLORES,Crista de Galo,B,B,B,M,A,M,M,A,M,A,A,A
FLORES,Dália,M,B,A,A,M,B,B,B,B,B,M,M
FLORES,Dracena,B,B,M,B,A,M,A,A,M,M,B,B
FLORES,Estatice,M,B,B,B,B,B,B,B,M,A,A,M
FLORES,Estrelicia,M,A,A,M,A,A,A,A,M,M,B,B
FLORES,Eucalipto Simeria,M,B,M,B,B,B,B,B,B,M,A,A
FLORES,Ficus,B,M,A,M,M,B,M,M,B,M,B,B
FLORES,Flor de Trigo,M,M,A,M,B,B,M,M,M,A,B,A
FLORES,Gérbera,A,M,M,B,B,B,B,M,A,A,A,A
FLORES,Girassol,M,B,M,B,M,B,M,A,A,A,M,A
FLORES,Gladiolo,A,B,M,A,A,B,B,A,B,B,B,B
FLORES,Goivo,B,B,B,B,B,M,M,A,A,M,B,B
FLORES,Grama São Carlos,B,M,M,B,B,M,M,A,M,A,A,M
FLORES,Gypsofila,M,B,B,B,B,M,B,M,M,M,A,A
FLORES,Helicônia,B,B,M,M,A,M,M,M,B,B,B,M
FLORES,Hortênsia,A,B,M,B,M,M,M,M,A,A,A,A
FLORES,Impatins,A,M,M,B,B,M,M,B,B,M,A,M
FLORES,Ìris,B,B,B,B,B,B,A,M,A,B,M,M
FLORES,Jasmim,A,A,A,M,M,A,A,M,B,B,M,B
FLORES,Kalanchoe,M,B,A,B,B,B,B,B,B,M,B,M
FLORES,Lírio,M,A,A,B,B,B,B,B,A,M,M,A
FLORES,Lisianthus,M,M,M,B,B,M,B,B,B,M,A,A
FLORES,Margarida,M,B,B,B,B,M,M,A,A,A,A,M
FLORES,Mini Rosa,A,A,A,M,A,M,A,M,M,B,B,B
FLORES,Mini Suculenta,M,B,B,B,B,B,B,B,M,A,A,A
FLORES,Moreia,A,A,M,B,B,M,A,A,A,A,A,A
FLORES,Musgo Pequeno,A,A,B,B,B,B,B,B,B,B,M,A
FLORES,Orquídea,B,B,M,B,M,A,A,A,A,A,M,M
FLORES,Palmeira PCT,B,B,B,M,M,M,B,B,B,A,M,A
FLORES,Palmeira,A,M,M,M,M,A,A,A,M,M,M,B
FLORES,Petúnia,A,B,B,B,B,B,M,M,M,M,A,A
FLORES,Pingo de Ouro,M,M,M,B,B,A,M,B,B,B,B,B
FLORES,Prímula,B,B,B,B,M,M,M,A,A,A,A,A
FLORES,Rosa,A,M,A,B,B,B,M,B,B,M,M,M
FLORES,Rosa Spray,M,M,A,M,B,B,B,B,B,M,B,M
FLORES,Samambaia,A,M,B,B,B,M,M,B,M,M,A,A
FLORES,Sempre Viva,B,B,B,B,B,B,B,B,M,A,A,M
FLORES,Suculenta,B,B,B,B,B,A,M,M,M,M,B,B
FLORES,Tango,A,M,M,B,B,B,B,M,M,A,A,A
FLORES,Tuia,M,M,M,B,M,A,A,B,B,B,A,A
FLORES,Tuia PCT,B,B,B,B,B,B,B,B,M,M,M,A
FLORES,Tulipa,B,B,B,B,A,A,M,B,B,B,B,B
FLORES,Tulipa VS,B,B,B,B,B,A,B,M,B,B,B,B
FLORES,Violeta,A,M,A,B,B,B,B,M,B,B,B,A
FLORES,Zínia,A,M,M,A,M,B,B,B,B,B,B,M
FLORES,Flores Comestiveis,,,,,,,,,,,,
---,,,,,,,,,,,,,
PESCADOS,Abrótea,B,M,A,B,B,B,A,M,B,B,B,B
PESCADOS,Agulhão,B,B,B,B,B,B,B,B,B,A,A,M
PESCADOS,Anchova,B,B,B,M,B,M,A,A,M,M,M,B
PESCADOS,Atum,M,A,A,B,M,B,M,A,A,A,A,M
PESCADOS,Bacalhau Seco Importado,B,B,M,A,B,B,B,B,B,B,B,B
PESCADOS,Badejo,B,B,B,B,M,B,M,B,B,B,B,A
PESCADOS,Bagre Água Doce,B,B,M,A,M,B,M,M,B,A,B,M
PESCADOS,Bagre Água Salgada,M,B,B,B,B,B,B,B,M,M,A,A
PESCADOS,Berbigão Limpo,B,M,M,B,B,B,B,B,B,M,A,A
PESCADOS,Betara,B,B,B,B,B,M,M,M,M,A,A,A
PESCADOS,Bijupira,B,B,B,A,B,B,B,B,B,B,B,B
PESCADOS,Bonito,A,B,A,B,B,B,M,B,B,M,M,B
PESCADOS,Cação Azul,B,A,A,A,M,M,M,B,M,B,A,B
PESCADOS,Camarão Cativeiro,M,B,A,M,A,B,B,A,B,M,M,M
PESCADOS,Camarão Pitu,B,B,M,M,B,B,B,A,B,B,B,B
PESCADOS,Camarão Rosa,B,B,B,B,B,A,A,A,A,A,M,M
PESCADOS,Camarão Sete Barbas,B,B,B,B,B,A,A,A,A,M,M,B
PESCADOS,Caranguejo,M,B,M,M,M,M,A,M,M,B,B,M
PESCADOS,Carapau,M,A,A,A,M,M,M,A,B,B,M,B
PESCADOS,Carapeba,M,M,M,B,B,B,B,B,B,M,A,A
PESCADOS,Cascudo,B,B,A,M,M,A,A,A,A,A,B,B
PESCADOS,Cavala,B,A,A,B,M,B,B,M,B,B,B,B
PESCADOS,Cavalinha,M,A,A,A,B,B,B,B,B,A,B,B
PESCADOS,Chiova,B,A,B,B,M,B,B,M,B,A,A,A
PESCADOS,Côngrio Rosa,B,B,B,A,B,B,M,A,A,A,M,B
PESCADOS,Corvina Água Doce,B,B,A,A,A,M,M,M,M,M,B,B
PESCADOS,Corvina Água Salgada,M,M,A,A,B,B,B,B,B,M,M,B
PESCADOS,Croassu,B,B,A,A,M,M,M,M,B,B,B,M
PESCADOS,Curimba,B,B,A,A,B,B,B,B,B,B,B,B
PESCADOS,Dourado Água Salgada,M,B,B,B,M,B,B,A,B,M,M,A
PESCADOS,Peixe - Espada,A,A,A,M,M,B,M,B,B,A,A,M
PESCADOS,File de Merluza,B,A,A,A,M,M,B,B,B,B,A,M
PESCADOS,File de Tilapia,B,B,M,M,B,M,B,M,A,A,A,A
PESCADOS,Peixe - Galo,B,M,A,A,A,A,M,M,B,B,M,M
PESCADOS,Garoupa,B,B,M,A,A,M,M,B,B,M,B,B
PESCADOS,Gordinho,A,B,B,B,B,M,M,B,B,M,A,M
PESCADOS,Guaivira,B,B,M,A,B,M,A,B,B,B,A,A
PESCADOS,Jundiá,B,B,B,B,B,B,M,A,B,M,B,B
PESCADOS,Lagosta,B,B,B,B,M,A,A,A,A,M,M,B
PESCADOS,Lambari,B,B,B,M,A,M,M,M,A,A,B,B
PESCADOS,Linguado,B,M,M,M,B,B,B,B,A,A,A,B
PESCADOS,Lula,A,A,A,M,M,M,B,B,B,B,B,B
PESCADOS,Mandi,B,B,A,A,A,A,A,A,M,A,B,B
PESCADOS,Manjuba,B,A,A,B,B,B,B,B,M,A,A,A
PESCADOS,Meca,B,B,B,M,A,A,M,M,A,A,M,M
PESCADOS,Mexilhão Limpo,B,B,B,M,M,B,B,B,M,B,B,A
PESCADOS,Namorado,B,B,B,B,A,B,B,M,B,B,M,A
PESCADOS,Olhete,B,B,B,B,B,B,B,M,M,A,A,B
PESCADOS,Ostra,M,M,B,B,M,M,M,M,A,A,A,A
PESCADOS,Oveva,A,A,A,M,M,M,B,B,B,B,A,A
PESCADOS,Pacu,B,B,B,A,B,M,B,B,B,B,B,B
PESCADOS,Palombeta,M,B,B,B,B,A,B,B,M,M,A,B
PESCADOS,Pampo,M,M,M,B,M,A,M,A,M,B,M,B
PESCADOS,Pampo,M,M,M,B,M,A,M,A,M,B,M,B
PESCADOS,Pangasius,B,M,M,M,B,B,A,M,A,A,A,B
PESCADOS,Pargo,B,B,M,B,A,A,A,A,M,A,B,B
PESCADOS,Paru,M,M,B,B,B,B,B,B,B,B,A,A
PESCADOS,Peixe-Cabra,B,B,B,B,B,A,A,A,M,M,B,B
PESCADOS,Peroá Branco (Porquinho),M,B,M,A,A,A,M,M,M,M,B,B
PESCADOS,Pescada Amarela,M,B,B,B,B,A,M,A,A,A,A,A
PESCADOS,Pescada Bicuda,B,B,M,B,B,A,M,A,A,B,M,B
PESCADOS,Pescada Branca,B,B,B,B,M,A,A,A,A,M,M,B
PESCADOS,Pescada Cumbucu,M,M,B,B,B,B,B,M,M,A,A,A
PESCADOS,Pescada Goete,M,M,B,M,M,M,A,A,A,A,A,B
PESCADOS,Pescada Maria Mole,B,M,A,A,B,M,B,B,B,B,B,B
PESCADOS,Pescada Tortinha,B,B,M,B,B,M,M,A,A,M,B,B
PESCADOS,Piau,B,B,A,M,M,M,A,M,M,A,B,B
PESCADOS,Pintado,B,B,M,A,B,B,B,B,B,B,M,B
PESCADOS,Pirarucu,M,B,A,A,M,B,M,A,B,B,M,M
PESCADOS,Polvo,B,B,M,M,M,A,A,M,A,B,B,B
PESCADOS,Prego,B,A,B,M,B,B,B,B,B,B,B,M
PESCADOS,Robalo,M,B,B,B,B,B,B,B,B,B,A,M
PESCADOS,Roncador,B,B,B,B,B,B,B,B,B,M,A,B
PESCADOS,Salmão Importado Chile,B,B,B,B,M,M,B,A,A,A,A,M
PESCADOS,Sardinha Congelada,A,M,B,B,B,B,B,B,B,A,A,A
PESCADOS,Sardinha Lages,M,M,B,B,B,M,A,A,A,A,A,B
PESCADOS,Sardinha Fresca,B,B,A,A,A,A,A,A,M,B,B,B
PESCADOS,Siri,B,B,M,M,M,A,A,M,B,M,B,B
PESCADOS,Sororoca,B,B,B,B,M,A,A,M,B,B,B,B
PESCADOS,Tainha,B,B,A,A,M,A,A,M,B,B,B,B
PESCADOS,Tambaqui,B,B,M,A,B,B,B,A,A,A,A,A
PESCADOS,Tilapia,M,B,A,A,B,B,B,M,M,M,M,B
PESCADOS,Traira,B,B,M,M,M,M,M,A,A,M,B,B
PESCADOS,Trilha,M,A,M,B,B,M,A,A,A,M,B,B
PESCADOS,Truta,M,B,B,B,B,B,B,B,B,B,A,M
PESCADOS,Tucunaré,B,B,B,B,B,M,A,M,B,B,B,B
PESCADOS,Xaréu,M,B,M,B,B,M,B,B,B,B,A,B
