CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,5
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,86
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,02
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,9
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;20,38
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,5
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,5
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,18
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,08
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,49
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,93
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,15
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,07
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,25
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,43
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,47
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,75
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,44
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,94
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,63
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,5
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,64
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,48
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;23,0
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,44
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,25
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,0
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,0
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,5
